name,price,Performance_1_to_10,Weight_Proxy,Battery_Proxy,processor,ram,storage,graphics_card,img
Asus Vivobook 15 M1502YA-BQ703WS Laptop,45990,3.925619834710744,1.831335006947632,8.0,5th Gen AMD Ryzen 7 5825U,16 GB RAM,512 GB  ,Intergrated AMD Radeon Graphics,https://cdn1.smartprix.com/rx-ioXf2YG04-w280-h280/asus-vivobook-15-m15.webp
Lenovo IdeaPad Slim 3 82XM00UGIN Laptop,39190,2.7107438016528924,1.676449728188134,8.0,5th Gen AMD Ryzen 5 5625U,16 GB DDR4 RAM,512 GB  ,AMD Radeon,https://cdn1.smartprix.com/rx-ilxx4HjCk-w280-h280/lenovo-ideapad-slim.webp
Asus TUF Gaming F16 FX688JPR-QT043WS Laptop,179990,6.355371900826446,2.677325707048123,4.0,14th Gen Intel Core i7 14650HX,32 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 5070,https://cdn1.smartprix.com/rx-iy4HIKBaN-w280-h280/asus-tuf-gaming-f16.webp
HP 15-fd0515TU Laptop,64900,4.12396694214876,1.8547357974210046,8.0,13th Gen Intel Core i7 1355U,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i5leXhagh-w280-h280/hp-15-fd0515tu-lapto.webp
Asus Vivobook 15 X1504VA-NJ2218WS Laptop,47989,2.7355371900826446,1.7311990224241516,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,Integrated Intel Graphics,https://cdn1.smartprix.com/rx-iTDZTFmWS-w280-h280/asus-vivobook-15-x15.webp
Xiaomi Redmi Book 14 2025 Laptop,44999,3.925619834710744,1.8965749828570315,5.5,7th Gen AMD Ryzen 7 7735H,16 GB LPDDR5 RAM,512 GB  ,AMD Radeon 680M,https://cdn1.smartprix.com/rx-iNOsmOz0k-w280-h280/xiaomi-redmi-book-14.webp
Lenovo Yoga 7 2-in-1 83JQ000NIN Laptop,135990,3.7768595041322315,1.6602219407889176,8.0,Intel Core Ultra 7 Series 2 258V,32 GB LPDDR5x RAM,1 TB  ,Integrated Intel Arc Graphics 140V,https://cdn1.smartprix.com/rx-ir2xtFCtE-w280-h280/lenovo-yoga-7-2-in-1.webp
Acer Aspire 15 AS15-42 UN.35MSI.004 Laptop,37990,2.7107438016528924,1.8739171566937194,8.0,7th Gen AMD Ryzen 5 7430U,16 GB DDR4 RAM,1 TB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iuaCy1UXf-w280-h280/acer-aspire-15-as15.webp
HP Victus 15-fa2077TX Gaming Laptop,87990,6.890909090909091,2.722691193415741,4.0,13th Gen Intel Core i7 13620H,16 GB DDR4 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iKhowZ0Fl-w280-h280/hp-victus-15-fa2077t.webp
Acer Travel Lite TL14-42M 14 Laptop,67990,3.925619834710744,1.8638713915810452,8.0,7th Gen AMD Ryzen 7 7730U,32 GB RAM,1 TB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-ivcht5zLj-w280-h280/acer-travel-lite-tl1.webp
HP 15-fd0577TU Laptop,53990,2.7355371900826446,1.779054886393658,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i61VkTI2t-w280-h280/hp-15-fd0577tu-lapto.webp
HP 15-fd0575TU Laptop,49980,2.7355371900826446,1.8831917802925218,8.0,13th Gen Intel Core i5 1334U,12 GB RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iPXwAz1GV-w280-h280/hp-15-fd0575tu-lapto.webp
Asus ROG Zephyrus G16 GU605CW-QR133WS Gaming Laptop,359990,4.966942148760331,2.605670762368937,4.0,Intel Core Ultra 9 Series 2 285H,32 GB LPDDR5X RAM,2 TB  ,16 GB NVIDIA GeForce RTX 5080,https://cdn1.smartprix.com/rx-iarwebf64-w280-h280/asus-rog-zephyrus-g1.webp
Acer Aspire Lite AL15-41 UN.31ZSI.039 Laptop,37990,2.7107438016528924,1.8644941837415197,8.0,7th Gen AMD Ryzen 5 7430U,16 GB DDR4 RAM,512 GB  ,AMD Graphics,https://cdn1.smartprix.com/rx-im1LSvPt2-w280-h280/acer-aspire-lite-al1.webp
Asus TUF Gaming F16 FX677VU-RL155WS Laptop,94990,7.218181818181819,2.5286153058272447,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iCRKMaJ7O-w280-h280/asus-tuf-gaming-f16.webp
Lenovo IdeaPad Slim 5 14AKP10 2025 83HX001NIN Laptop,81990,1.1487603305785123,1.7010725802781366,6.5,AMD Ryzen AI 7 AI 7 350,24 GB LPDDR5X RAM,1 TB  ,AMD Radeon 860M,https://cdn1.smartprix.com/rx-iFKaK5HiK-w280-h280/lenovo-ideapad-slim.webp
Asus Vivobook S14 2025 S3407VA-LY040WS Laptop,68990,6.206611570247934,1.8154764133577974,5.5,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i6oCkjfHC-w280-h280/asus-vivobook-s14-20.webp
ASUS Vivobook S14 Flip 2025 TP3402VAO-LZ612WS Laptop,62990,6.206611570247934,1.8507067849473473,5.5,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iSdR7kQkI-w280-h280/asus-vivobook-s14-fl.webp
Asus Expertbook P5 P5405CSA-NZ0215WS Laptop,110990,3.7768595041322315,1.8240635921301989,8.0,Intel Core Ultra 7 258V,32 GB LPDDR5X RAM,1 TB  ,Intel Integrated Arc,https://cdn1.smartprix.com/rx-igkYFLRQv-w280-h280/asus-expertbook-p5-p.webp
Asus Expertbook P1 14 P1403CVA-S60343WS Laptop,34990,1.3471074380165289,1.659222319896402,8.0,13th Gen Intel Core i3 1315U,8 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-igmHFinXw-w280-h280/asus-expertbook-p1-1.webp
Lenovo LOQ 15IRX9 83DV00Y8IN Gaming Laptop,81490,7.218181818181819,2.6529621763568776,4.0,13th Gen Intel Core i5 13450HX,24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iE0WAUMA6-w280-h280/lenovo-loq-15irx9-83.webp
Lenovo 100e Chromebook Gen 4 82W0001DHAS Laptop,10999,1.0,1.813427755183962,6.5,MediaTek Kompanio 528 528,4 GB LPDDR4X RAM,64 GB  ,MediaTek Integrated Arm Mali-G52,https://cdn1.smartprix.com/rx-iHw3RFa8s-w280-h280/lenovo-100e-chromebo.webp
HP Victus 15-fb3011AX Gaming Laptop,64490,3.2462809917355373,2.5528652136005565,4.0,5th Gen AMD Ryzen 5 5600H,16 GB DDR4 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ivciqloWU-w280-h280/hp-victus-15-fb3011a.webp
HP OmniBook X Flip 14-fm0058TU Next Gen AI PC Laptop,99990,2.884297520661157,1.8213361141715005,8.0,Intel Core Ultra 5 226V,16 GB LPDDR5x RAM,512 GB  ,Intel Arc Graphics,https://cdn1.smartprix.com/rx-iA7VFFsYG-w280-h280/hp-omnibook-x-flip-1.webp
HP OmniBook 5 Next Gen AI 16-ag1048AU Laptop,79490,1.1487603305785123,1.6228499303369912,6.5,AMD Ryzen AI 7 350,16 GB LPDDR5x RAM,512 GB  ,AMD Radeon 860M Graphics,https://cdn1.smartprix.com/rx-ipytHQlmS-w280-h280/hp-omnibook-5-next-g.webp
HP 14-em0214AU Laptop,43999,2.7107438016528924,1.82417381738909,8.0,7th Gen AMD Ryzen 5 7530U,16 GB RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iN8A4sPQT-w280-h280/hp-14-em0214au-lapto.webp
Xiaomi Redmi Book 14 Refreshed Edition Laptop,40990,6.355371900826446,1.8818373473669825,5.5,13th Gen Intel Core i5 13420H,16 GB RAM,512 GB  ,Intel Iris Xe Graphics,https://cdn1.smartprix.com/rx-iPfpOi7NM-w280-h280/xiaomi-redmi-book-14.webp
Asus TUF Gaming A15 FA566NCR-HN254WS Laptop,64999,4.371900826446281,2.4729924592706864,4.0,7th Gen AMD Ryzen 7 7435HS,16 GB DDR5 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iCBlt9nkj-w280-h280/asus-tuf-gaming-a15.webp
Asus TUF Gaming F16 FX607VB-RL087WS Laptop,69990,1.5950413223140496,2.7430150727475415,4.0,5th Gen Intel Core 5 210H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050A,https://cdn1.smartprix.com/rx-i0R7rXIeD-w280-h280/asus-tuf-gaming-f16.webp
Asus Vivobook Go 15 E1504FA-NJ131WS Laptop,30700,1.1735537190082646,1.8503855130854219,8.0,7th Gen AMD Ryzen 3 7320U,8 GB LPDDR5 RAM,512 GB  ,Integrated AMD Radeon Graphics,https://cdn1.smartprix.com/rx-itmgM6tAv-w280-h280/asus-vivobook-go-15.webp
Samsung Galaxy Book 5 360 np750qha-lg1in Laptop,105999,2.884297520661157,1.6979062854370395,8.0,5th Gen Intel Core Ultra 5 226V,16 GB LPDDR5X RAM,512 GB  ,Intel Arc Graphics 130V,https://cdn1.smartprix.com/rx-ipGEBPemt-w280-h280/samsung-galaxy-book.webp
Samsung Galaxy Book 5 Pro 360 np960qha-kg4in Laptop,175199,3.925619834710744,1.7159311905838375,8.0,Intel Core Ultra 7 Series 2 258V,32 GB LPDDR5X RAM,1 TB  ,Intel Arc 140V GPU,https://cdn1.smartprix.com/rx-iHrHu8teD-w280-h280/samsung-galaxy-book.webp
Samsung Galaxy Book 5 360 NP750QHA-LG2IN Laptop,109199,3.925619834710744,1.7922628912773135,8.0,Intel Core Ultra 7 256V,16 GB LPDDR5X RAM,512 GB  ,Intel Arc Graphics 140V,https://cdn1.smartprix.com/rx-ipGEBPemt-w280-h280/samsung-galaxy-book.webp
Lenovo LOQ 2024 15IRX9 83DV00X4IN Gaming Laptop,81990,7.218181818181819,2.4541394747697884,4.0,13th Gen Intel Core i5 13450HX,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-igjrv39lL-w280-h280/lenovo-loq-2024-15ir.webp
Apple MacBook Air 2025 15 Laptop,139990,1.4462809917355373,1.3939621894121135,9.5,Apple M4,16 GB RAM,512 GB  ,Apple 10 Core GPU,https://cdn1.smartprix.com/rx-iEZZMd8Zd-w280-h280/apple-macbook-air-20.webp
Apple MacBook Air 15 2025 Laptop,120990,1.4462809917355373,1.3239524735904187,9.5,Apple M4,16 GB RAM,256 GB  ,Apple 10 Core GPU,https://cdn1.smartprix.com/rx-iEZZMd8Zd-w280-h280/apple-macbook-air-15.webp
Asus Vivobook 15 X1504VA-NJ2325WS Laptop,35989,1.3471074380165289,1.8962976196343373,8.0,13th Gen Intel Core i3 1315U,16 GB RAM,512 GB  ,Integrated Intel UHD Graphics,https://cdn1.smartprix.com/rx-inCWp9q7y-w280-h280/asus-vivobook-15-x15.webp
Asus Vivobook Go 14 E1404FA-NK5542WS Laptop,39990,2.7107438016528924,1.684708433400015,8.0,7th Gen AMD Ryzen 5 7520U,16 GB LPDDR5 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iO3Hk1yH3-w280-h280/asus-vivobook-go-14.webp
Lenovo ThinkPad E14 21JRS0JH00 Laptop,46990,2.7107438016528924,1.8832780182223163,8.0,7th Gen AMD Ryzen 5 7530U,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-iuJeRZtAY-w280-h280/lenovo-thinkpad-e14.webp
HP 15-fd0492TU Laptop,52999,2.884297520661157,1.8323900689743584,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,âIntel Iris Xe Graphics,https://cdn1.smartprix.com/rx-i2BJeysiS-w280-h280/hp-15-fd0492tu-lapto.webp
Asus Zenbook 14 OLED 2025 UX3405CA-PZ162WS Laptop,97990,2.7355371900826446,1.7366359783245215,8.0,Intel Core Ultra 5 225H,16 GB LPDDR5X RAM,1 TB  ,Intel Integrated Arc,https://cdn1.smartprix.com/rx-ihid906VU-w280-h280/asus-zenbook-14-oled.webp
Acer Aspire 3 A324-53 UN.34RSI.00B Laptop,27990,1.3471074380165289,1.8651457512426601,8.0,13th Gen Intel Core i3 1305U,8 GB DDR4 RAM,256 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-irGgpFgbD-w280-h280/acer-aspire-3-a324-5.webp
ASUS TUF Gaming A18 2025 Laptop,199990,3.925619834710744,2.4274072928526897,4.0,AMD Ryzen 7 260,16 GB âDDR5 RAM,2 TB  ,8 GB âNVIDIA GeForce RTX 5070,https://cdn1.smartprix.com/rx-ilGMzUapo-w280-h280/asus-tuf-gaming-a18.webp
HP 255 G10 B1FW9PT Laptop,27104,1.322314049586777,1.7563438710624606,8.0,7th Gen AMD Ryzen 3 7320U,8 GB DDR4 RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-i53tBEfZm-w280-h280/hp-255-g10-b1fw9pt-l.webp
Acer Aspire 3 A324-53 UN.34RSI.004 Laptop,44990,2.7355371900826446,1.7813088543614044,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i2Zc4wLZv-w280-h280/acer-aspire-3-a324-5.webp
Apple 2024 MacBook Air 15 Laptop,104994,3.578512396694215,1.3233727104850328,9.5,Apple M3,16 GB DDR4 RAM,256 GB  ,10-Core GPU,https://cdn1.smartprix.com/rx-izuhiiNsA-w280-h280/apple-2024-macbook-a.webp
Apple MacBook Pro 16 Laptop,279990,1.1487603305785123,1.3256726340084555,9.5,Apple M4 Pro,48 GB RAM,512 GB  ,20 Core GPU,https://cdn1.smartprix.com/rx-i80uYZKoA-w280-h280/apple-macbook-pro-16.webp
Infinix Inbook Air Pro Plus XL434 Laptop,49990,2.7355371900826446,1.6985826842991687,8.0,13th Gen Intel Core i5 1334U,16 GB LPDDR4X RAM,512 GB  ,Intel Integrated Iris Xe,https://cdn1.smartprix.com/rx-iyJ0famiB-w280-h280/infinix-inbook-air-p.webp
Acer Aspire 3 A324-53 UN.34RSI.002 Laptop,29990,1.3471074380165289,1.6050304317920823,8.0,13th Gen Intel Core i3 1305U,8 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-irGgpFgbD-w280-h280/acer-aspire-3-a324-5.webp
Lenovo Ideapad Slim 5x Gen 9 14Q8X9 83HL0035IN Laptop,68990,1.1487603305785123,1.87297186464413,8.0,Qualcomm Snapdragon X Plus X1P-42-100,16 GB LPDDR5X RAM,1 TB  ,Qualcomm Adreno,https://cdn1.smartprix.com/rx-i15FKzUIM-w280-h280/lenovo-ideapad-slim.webp
Lenovo IdeaPad Slim 5 83DC007LIN Laptop,67990,2.884297520661157,1.7211934941666214,8.0,Intel Core Ultra 5 Series 1 125H,16 GB LPDDR5X RAM,512 GB  ,Intel Arc Graphics,https://cdn1.smartprix.com/rx-iqLkIsbDa-w280-h280/lenovo-ideapad-slim.webp
Acer Aspire 3 15 A325-42 Laptop,36990,2.7107438016528924,1.6677562858865558,8.0,7th Gen AMD Ryzen 5 7430U,16 GB DDR4 RAM,512 GB  ,AMD Graphics,https://cdn1.smartprix.com/rx-is8tthNvP-w280-h280/acer-aspire-3-15-a32.webp
Asus Vivobook 16X K3605ZC-RP587WS Laptop,64662,5.413223140495868,2.41344811579481,4.0,12th Gen Intel Core i5 12500H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ivNhkNqps-w280-h280/asus-vivobook-16x-k3.webp
Asus Vivobook 16X K3605ZF-RP258WS Laptop,71990,4.966942148760331,2.697103964088412,4.0,12th Gen Intel Core i5 12500H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,https://cdn1.smartprix.com/rx-ivNhkNqps-w280-h280/asus-vivobook-16x-k3.webp
Asus Vivobook S 15 OLED S5507QA-MA551WS Laptop,71990,1.1487603305785123,1.8645339906513885,8.0,Qualcomm Snapdragon X Plus X1P 42,16 GB LPDDR5X RAM,1 TB  ,Qualcomm Adreno GPU,https://cdn1.smartprix.com/rx-inALJGGon-w280-h280/asus-vivobook-s-15-o.webp
HP Victus 15-fa1278TX Gaming Laptop,75775,7.218181818181819,2.510712525732473,4.0,13th Gen Intel Core i5 13420H,16 GB DDR4 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-i1Ze76sOl-w280-h280/hp-victus-15-fa1278t.webp
Infinix INBook Y3 Max YL613 Laptop,39990,4.12396694214876,1.7178780956401698,8.0,12th Gen Intel Core i7 1255U,16 GB LPDDR4X RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-ig4mYwdq9-w280-h280/infinix-inbook-y3-ma.webp
Acer Aspire 7 A715-79G UN.34NSI.001 Gaming Laptop,52990,6.355371900826446,2.4326901510703838,4.0,13th Gen Intel Core i5 13420H,8 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,https://cdn1.smartprix.com/rx-iizWzm3cu-w280-h280/acer-aspire-7-a715-7.webp
Lenovo V15 G4 â83CQ0006IN Laptop,27980,1.1735537190082646,1.8048177701782184,8.0,7th Gen AMD Ryzen 3 7320U,8 GB LPDDR5 RAM,512 GB  ,Integrated AMD Radeon 610M,https://cdn1.smartprix.com/rx-iNPbbS6Eu-w280-h280/lenovo-v15-g4-83cq00.webp
Lenovo LOQ 2024 83GS0098IN Gaming Laptop,69900,5.502479338842975,2.463783565172386,4.0,12th Gen Intel Core i5 12450HX,24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-iP2z8I865-w280-h280/lenovo-loq-2024-83gs.webp
Huawei MateBook GT 14 Laptop,127990,4.966942148760331,1.7063780117027614,8.0,Intel Core Ultra 9 Series 1 185H,32 GB RAM,2 TB  ,Intel Arc Graphics,https://cdn1.smartprix.com/rx-ib5cQU8XL-w280-h280/huawei-matebook-gt-1.webp
Lenovo Yoga Book 9 83FF0034IN Laptop,239990,3.7768595041322315,1.6789846042092031,8.0,Intel Core Ultra 7 155U,32 GB LPDDR5x RAM,1 TB  ,Intel Integrated Graphics,https://cdn1.smartprix.com/rx-ipS3kFdFo-w280-h280/lenovo-yoga-book-9-8.webp
HP Victus Special Edition 15-fa1382TX Gaming Laptop,68990,5.413223140495868,2.7682190287767723,4.0,12th Gen Intel Core i7 12650H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050A,https://cdn1.smartprix.com/rx-iux12d7Lh-w280-h280/hp-victus-special-ed.webp
HP Victus 15-fa1388TX Gaming Laptop,64999,5.413223140495868,2.6997115719615796,4.0,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,1 TB  ,4 GB NVIDIA GeForce RTX 3050A,https://cdn1.smartprix.com/rx-iXMztE9Xc-w280-h280/hp-victus-15-fa1388t.webp
Air Falcon Series 14ADL5 laptop,27353,2.7355371900826446,1.8352773275733123,8.0,12th Gen Intel Core i5 1235U,8 GB RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i40cCyj9f-w280-h280/air-falcon-series-14.webp
Lenovo IdeaPad 3 14IAU7 82RJ00FFIN Laptop,35475,1.3471074380165289,1.8606371280076692,8.0,12th Gen Intel Core i3 1215U,16 GB DDR4 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-i4aIixHlF-w280-h280/lenovo-ideapad-3-14i.webp
Colorful Evol P15 Gaming Laptop,89990,7.709090909090909,2.440109304632537,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iVq6X146v-w280-h280/colorful-evol-p15-ga.webp
Lenovo LOQ 15ARP9 83JC0046IN Gaming Laptop,103990,5.279338842975207,2.64895628101626,4.0,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iJrP56MSY-w280-h280/lenovo-loq-15arp9-83.webp
Gigabyte G5 KF5-H3IN353SH Laptop,84750,7.709090909090909,2.7404902354696152,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-ijZZfWpWB-w280-h280/gigabyte-g5-kf5-h3in.webp
MSI Katana A17 AI B8VE-884IN Gaming Laptop,97990,6.176859504132231,2.5872917295071884,4.0,8th Gen AMD Ryzen 9 8945HS,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-ijmUr7Z1j-w280-h280/msi-katana-a17-ai-b8.webp
Gigabyte G6 KF-H3IN853SH Laptop,85234,7.709090909090909,2.4796117292559336,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iacpTNP7r-w280-h280/gigabyte-g6-kf-h3in8.webp
Lenovo LOQ 15ARP9 83JC0045IN Gaming Laptop,81490,4.788429752066116,2.46046500732823,4.0,7th Gen AMD Ryzen 7 7435HS,24 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iz9KcampG-w280-h280/lenovo-loq-15arp9-83.webp
Asus TUF Gaming A15 FA506NCR-HN054W Laptop,63990,4.371900826446281,2.665313431696725,4.0,7th Gen AMD Ryzen 7 7435HS,16 GB DDR5 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ijAZU7Erx-w280-h280/asus-tuf-gaming-a15.webp
HP Victus 15-fb2117AX Gaming Laptop,99990,4.788429752066116,2.774353997621684,4.0,8th Gen AMD Ryzen 7 8845HS,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iIsHcTCux-w280-h280/hp-victus-15-fb2117a.webp
Asus Vivobook S 15 OLED 2024 S5507QAD-MA751WS Laptop,84938,1.1487603305785123,1.8692850341175085,8.0,Qualcomm Snapdragon X Elite X1E 78 100,16 GB LPDDR5X RAM,1 TB  ,Qualcomm Adreno GPU,https://cdn1.smartprix.com/rx-izRpV3Dx9-w280-h280/asus-vivobook-s-15-o.webp
MSI Katana A15 AI B8VF-447IN Gaming Laptop,116990,6.667768595041322,2.600768946363056,4.0,8th Gen AMD Ryzen 9 8945HS,16 GB DDR5 RAM,512 GB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-i0fCwT13g-w280-h280/msi-katana-a15-ai-b8.webp
MSI Modern 14 C12MO-1202IN Laptop,45222,4.12396694214876,1.7296533485632455,8.0,12th Gen Intel Core i7 1255U,16 GB DDR4 RAM,512 GB  ,Intel Integrated,https://cdn1.smartprix.com/rx-iuelMHD6g-w280-h280/msi-modern-14-c12mo.webp
HP Omen 16-wd0011tx Gaming Laptop,109990,7.218181818181819,2.632073531182289,4.0,13th Gen Intel Core i7 13620H,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iOMvkJUCZ-w280-h280/hp-omen-16-wd0011tx.webp
Samsung Galaxy Book 4 np750xgk-lg3in Laptop,68600,1.1487603305785123,1.7646758633869588,8.0,Intel Core 7 Processor Series 1 150U,16 GB LPDDR4x RAM,512 GB  ,Intel Graphics,https://cdn1.smartprix.com/rx-iHkkcYnun-w280-h280/samsung-galaxy-book.webp
Asus ProArt P16 2024 Laptop,199990,3.15702479338843,2.717808249834816,4.0,AMD Ryzen AI 9 HX 370,32 GB LPDDR5X RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4070,https://cdn1.smartprix.com/rx-ippGWPj0E-w280-h280/asus-proart-p16-2024.webp
Asus ROG Zephyrus G14 GA403UV-QS085WS Gaming Laptop,149990,6.667768595041322,2.722907703149586,4.0,8th Gen AMD Ryzen 9 8945HS,16 GB LPDDR5X RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iLRXQEQIc-w280-h280/asus-rog-zephyrus-g1.webp
HP Victus 15-fa1351TX Gaming Laptop,59190,4.966942148760331,2.716379395495964,4.0,12th Gen Intel Core i5 12450H,16 GB DDR4 RAM,512 GB  ,4 GB NVIDIA GeForce RTX 2050,https://cdn1.smartprix.com/rx-iJd2TTEJp-w280-h280/hp-victus-15-fa1351t.webp
Lenovo LOQ 2024 â15AHP9 83DX0006IN Gaming Laptop,89990,4.788429752066116,2.7786107873647783,4.0,8th Gen AMD Ryzen 7 8845HS,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-i21ZTLWUt-w280-h280/lenovo-loq-2024-15ah.webp
HP Omen 16-wf0148TX Gaming Laptop,129990,7.709090909090909,2.5197411174024698,4.0,13th Gen Intel Core i9 13900HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iw5nDw0Yt-w280-h280/hp-omen-16-wf0148tx.webp
Infinix INBook X3 Slim XL422 Laptop,32990,4.12396694214876,1.7633387887718177,8.0,12th Gen Intel Core i7 1255U,32 GB LPDDR4X RAM,512 GB  ,Intel Integrated Iris Xe,https://cdn1.smartprix.com/rx-iOcnXVdrE-w280-h280/infinix-inbook-x3-sl.webp
MSI Cyborg 15 A12UDX-1049IN Gaming Laptop,67990,5.502479338842975,2.7466986726008025,4.0,12th Gen Intel Core i5 12450H,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 3050,https://cdn1.smartprix.com/rx-ioI55TxRl-w280-h280/msi-cyborg-15-a12udx.webp
Asus ROG Strix G16 2023 G614JIR-N4062WS Gaming Laptop,199990,8.363636363636363,2.702104765267999,4.0,14th Gen Intel Core i9 14900HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4070,https://cdn1.smartprix.com/rx-ix1L7LnHo-w280-h280/asus-rog-strix-g16-2.webp
Dell G15 5530 Gaming Laptop,135990,7.709090909090909,2.7054671796251606,4.0,13th Gen Intel Core i7 13650HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iFy7XXijx-w280-h280/dell-g15-5530-gaming.webp
Asus Vivobook 16 X1605ZAC-MB540WS Laptop,52499,4.966942148760331,1.6935088319178944,5.5,12th Gen Intel Core i5 12500H,16 GB DDR4 RAM,512 GB  ,Intel Iris Xe Graphics,https://cdn1.smartprix.com/rx-itdOWu3UC-w280-h280/asus-vivobook-16-x16.webp
MSI Sword 16 HX B14VEKG-210IN Gaming Laptop,102990,7.218181818181819,2.5815058786716687,4.0,14th Gen Intel Core i7 14700HX,16 GB DDR5 RAM,1 TB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iQwIEfS0z-w280-h280/msi-sword-16-hx-b14v.webp
