name,price,Performance_1_to_10,Weight_Proxy,Battery_Proxy,processor,ram,storage,graphics_card,img
Lenovo ThinkBook 16 21KKA0HGIN Laptop,40304,2.7107438016528924,1.869124448702182,8.0,7th Gen AMD Ryzen 5 7430U,8 GB RAM,512 GB  ,AMD Radeon Graphics,https://cdn1.smartprix.com/rx-iW4ZTUSxJ-w280-h280/lenovo-thinkbook-16.webp
HP 15-fc0154AU Laptop,29890,1.322314049586777,1.6156052075589624,8.0,7th Gen AMD Ryzen 3 7320U,8 GB DDR5 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iz7q0ZTqc-w280-h280/hp-15-fc0154au-lapto.webp
Apple MacBook Air 2020 MGND3HN Laptop,54490,2.041322314049587,1.2017792908203895,9.5,Apple M1,8 GB DDR4 RAM,256 GB  ,Apple M1 Integrated Graphics,https://cdn1.smartprix.com/rx-iXMsgRkkm-w280-h280/apple-macbook-air-20.webp
Infinix XBOOK B15 Series BL51A5 Laptop,44990,3.925619834710744,1.6342954477199685,8.0,5th Gen AMD Ryzen 7 5825U,16 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-se.webp
Infinix XBOOK B15 Series BL51A5 Laptop,32990,2.7107438016528924,1.8779723601703258,8.0,5th Gen AMD Ryzen 5 5500U,16 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-se.webp
Infinix XBOOK B15 BL51A5 Laptop,30990,2.7107438016528924,1.7426626438461674,8.0,5th Gen AMD Ryzen 5 5500U,8 GB DDR4 RAM,512 GB  ,AMD Radeon AMD,https://cdn1.smartprix.com/rx-iBtwopf5U-w280-h280/infinix-xbook-b15-bl.webp
Asus Expertbook P1 P1503CVA-S70611WS Laptop,48990,6.206611570247934,1.7182245257655813,5.5,13th Gen Intel Core i5 13420H,16 GB DDR5 RAM,512 GB  ,Intel Integrated UHD,https://cdn1.smartprix.com/rx-iaCzkgoz8-w280-h280/asus-expertbook-p1-p.webp
HP â15-fd0467TU Laptop,51000,2.884297520661157,1.7797537589710852,8.0,13th Gen Intel Core i5 1334U,16 GB DDR4 RAM,512 GB  ,âIntel Iris Xe Graphics,https://cdn1.smartprix.com/rx-iZHBMrOJe-w280-h280/hp-15-fd0467tu-lapto.webp
HP Victus 15-fb3025AX Gaming Laptop,100990,6.667768595041322,2.5104444280839253,4.0,8th Gen AMD Ryzen 9 8945HS,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-isGZQwKCN-w280-h280/hp-victus-15-fb3025a.webp
Acer Aspire Lite 15 AL15-52H Laptop,47990,4.966942148760331,1.6319585428706378,5.5,12th Gen Intel Core i5 12450H,12 GB DDR4 RAM,512 GB  ,Intel UHD Graphics,https://cdn1.smartprix.com/rx-iDIxx1KCW-w280-h280/acer-aspire-lite-15.webp
Lenovo LOQ 2024 83GS003VIN Gaming Laptop,73990,5.829752066115702,2.772079531917532,4.0,12th Gen Intel Core i5 12450HX,16 GB DDR5 RAM,512 GB  ,6 GB NVIDIA GeForce RTX 4050,https://cdn1.smartprix.com/rx-iuprVsTCG-w280-h280/lenovo-loq-2024-83gs.webp
HP Omen 16-wf1096TX Gaming Laptop,119990,7.709090909090909,2.506552081417302,4.0,14th Gen Intel Core i7 14650HX,16 GB DDR5 RAM,1 TB  ,8 GB NVIDIA GeForce RTX 4060,https://cdn1.smartprix.com/rx-iPMkkmEro-w280-h280/hp-omen-16-wf1096tx.webp
